Job Filing Number,Filing Status,Filing Date,House No,Street Name,Borough,Block,LOT,Bin,Job Description,Filing Review Type,guid,filing_status,doc_description,doc_name,doc_url_original,download_url,result_status,error_body,zoning_status,doc_create_on,doc_category,doc_type_name,doc_status_label
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,Parks Department Acknowledgment Letter for Street Trees Plan,Parks Department Acknowledgment Letter for Street Trees Plan,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/objects/09003039870489b3,,FILTERED,,HAS ZONING DOCUMENTS,2024-05-16,Supporting Documents,Parks Department Acknowledgment Letter for Street Trees Plan,Accepted
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,Other Documents  - AI1_Objection Responses,Other Documents  - AI1_Objection Responses,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986b6afcb,,FILTERED,,HAS ZONING DOCUMENTS,2024-10-18,Supporting Documents,Other Documents - Prior to Approval,Accepted
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,Other Documents  - AI1_Objection Responses,Other Documents  - AI1_Objection Responses,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986b6afcb,,FILTERED,,HAS ZONING DOCUMENTS,2024-09-20,Supporting Documents,Other Documents - Prior to Approval,Accepted
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,Other Documents  - 10 Day Notices,Other Documents  - 10 Day Notices,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/09003039871ca58d,,FILTERED,,HAS ZONING DOCUMENTS,2025-03-20,Supporting Documents,CPC Certification for FRESH,Accepted
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,Other Documents  - RP-602,Other Documents  - RP-602,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/objects/0900303986b6b032,,FILTERED,,HAS ZONING DOCUMENTS,2024-09-20,Supporting Documents,Other Documents - Prior to Approval,Accepted
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,ZD1: DOB Zoning Diagram,ZD1: DOB Zoning Diagram,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986d26753,https://a810-DOBNOW.nyc.gov/Publish/DocumentStage//PortalDownloadedDocuments/BRONX/TEST//20260728052504496411933544/ZD1 DOB Zoning Diagram_ebc6cb3eb7.pdf,OK,,HAS ZONING DOCUMENTS,02/14/2025,Supporting Documents,ZD1: DOB Zoning Diagram,Superseded
X01052403-I1,Permit Entire,08/16/2024 12:00:00 AM,858,EAST 223 STREET,Bronx,4847,65,2063767,NEW 3 FAMILY DWELLING,Standard Plan Examination,fbaad6f5-9513-ef11-a958-005056b0044a,22,ZD1: DOB Zoning Diagram,ZD1: DOB Zoning Diagram,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303986a32ba0,https://a810-DOBNOW.nyc.gov/Publish/DocumentStage//PortalDownloadedDocuments/BRONX/TEST//202607280525115601770069196/ZD1 DOB Zoning Diagram_8b9d2ab664.pdf,OK,,HAS ZONING DOCUMENTS,11/08/2024,Supporting Documents,ZD1: DOB Zoning Diagram,Submitted
B01229007-I1,Approved,05/20/2025 12:00:00 AM,216,PENN STREET,Brooklyn,2219,32,3060844,"EXTENSION TO THE EXISTING CELLAR, PATCH AND REPAIR ALL SURFACES AS REQUIRED,  INSTALL NEW WINDOWS, FACADE REPAIR TO THE FRONT ELEVATION; NO CHANGE IN USE, EGRESS OR OCCUPANCY.",Standard Plan Examination,ba7581cc-ae35-f011-a98b-005056b0044a,6,DEP ACP-5: Asbestos Assessment Report,DEP ACP-5: Asbestos Assessment Report,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303987586e52,,FILTERED,,NO ZONING DOCUMENTS,2025-05-20,Supporting Documents,DEP ACP-5: Asbestos Assessment Report,Accepted
X00625848-P3,Approved,03/05/2025 12:00:00 AM,128,WEST  167 STREET,Bronx,2514,61,2130975,Proposed seven (7) story residential building.,Standard Plan Examination,bb38c0f1-d9f9-ef11-a981-005056b0044a,6,Property Ownership Certification,Property Ownership Certification,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/090030398471e361,,FILTERED,,HAS ZONING DOCUMENTS,2025-03-05,Supporting Documents,Property Ownership Certification,Accepted
X00625848-P3,Approved,03/05/2025 12:00:00 AM,128,WEST  167 STREET,Bronx,2514,61,2130975,Proposed seven (7) story residential building.,Standard Plan Examination,bb38c0f1-d9f9-ef11-a981-005056b0044a,6,Local Law 92/94 of 2019 Sustainable Roof Zone,Local Law 92/94 of 2019 Sustainable Roof Zone,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/090030398471e364,,FILTERED,,HAS ZONING DOCUMENTS,2025-03-05,Supporting Documents,Local Law 92/94 of 2019 Sustainable Roof Zone,Accepted
